,Unnamed: 0,borough,school_dist,Age04_10,Age11_13,Age14_17,ppsrdate,version,monthyear
62,62,Brooklyn,19,0.18,0.08,0.05,2023-01-05,4,2023-01
63,63,Brooklyn,20,0.19,0.07,0.05,2023-01-05,4,2023-01
64,64,Queens,26,0.29,0.13,0.1,2019-12-18,3,2019-12
65,65,Manhattan,1,0.04,0.01,0.02,2019-12-18,3,2019-12
66,66,Manhattan,2,0.04,0.01,0.02,2019-12-18,3,2019-12
67,67,Manhattan,3,0.04,0.01,0.02,2019-12-18,3,2019-12
68,68,Manhattan,4,0.07,0.03,0.02,2019-12-18,3,2019-12
69,69,Manhattan,5,0.09,0.03,0.02,2019-12-18,3,2019-12
70,70,Manhattan,6,0.07,0.02,0.02,2019-12-18,3,2019-12
71,71,Bronx,7,0.23,0.08,0.13,2019-12-18,3,2019-12
72,72,Bronx,8,0.2,0.09,0.13,2019-12-18,3,2019-12
73,73,Bronx,9,0.22,0.09,0.13,2019-12-18,3,2019-12
74,74,Bronx,10,0.21,0.08,0.13,2019-12-18,3,2019-12
75,75,Bronx,11,0.24,0.11,0.13,2019-12-18,3,2019-12
76,76,Bronx,12,0.27,0.12,0.13,2019-12-18,3,2019-12
77,77,Brooklyn,13,0.05,0.01,0.05,2019-12-18,3,2019-12
78,78,Brooklyn,14,0.04,0.01,0.05,2019-12-18,3,2019-12
79,79,Brooklyn,15,0.17,0.04,0.05,2019-12-18,3,2019-12
80,80,Brooklyn,16,0.09,0.04,0.05,2019-12-18,3,2019-12
81,81,Brooklyn,17,0.08,0.02,0.05,2019-12-18,3,2019-12
82,82,Brooklyn,18,0.13,0.08,0.05,2019-12-18,3,2019-12
83,83,Brooklyn,19,0.18,0.08,0.05,2019-12-18,3,2019-12
84,84,Brooklyn,20,0.19,0.07,0.05,2019-12-18,3,2019-12
85,85,Brooklyn,21,0.14,0.05,0.05,2019-12-18,3,2019-12
86,86,Brooklyn,22,0.15,0.05,0.05,2019-12-18,3,2019-12
87,87,Brooklyn,23,0.14,0.06,0.05,2019-12-18,3,2019-12
88,88,Brooklyn,32,0.09,0.04,0.05,2019-12-18,3,2019-12
89,89,Queens,24,0.38,0.13,0.1,2019-12-18,3,2019-12
90,90,Queens,25,0.22,0.07,0.1,2019-12-18,3,2019-12
91,91,Queens,27,0.17,0.07,0.1,2019-12-18,3,2019-12
92,92,Queens,28,0.22,0.08,0.1,2019-12-18,3,2019-12
93,93,Queens,29,0.33,0.14,0.1,2019-12-18,3,2019-12
94,94,Queens,30,0.11,0.04,0.1,2019-12-18,3,2019-12
95,95,Staten Island,31,0.25,0.08,0.09,2019-12-18,3,2019-12
96,96,Brooklyn,23,0.27,0.16,0.08,2019-03-13,2,2019-03
97,97,Staten Island,31,0.28,0.11,0.12,2019-03-13,2,2019-03
98,98,Queens,30,0.16,0.04,0.13,2019-03-13,2,2019-03
99,99,Queens,29,0.36,0.16,0.13,2019-03-13,2,2019-03
100,100,Queens,28,0.31,0.15,0.13,2019-03-13,2,2019-03
101,101,Queens,27,0.31,0.14,0.13,2019-03-13,2,2019-03
102,102,Queens,26,0.31,0.14,0.13,2019-03-13,2,2019-03
103,103,Queens,25,0.23,0.08,0.13,2019-03-13,2,2019-03
104,104,Queens,24,0.23,0.1,0.13,2019-03-13,2,2019-03
105,105,Brooklyn,32,0.18,0.04,0.08,2019-03-13,2,2019-03
106,106,Bronx,12,0.33,0.13,0.15,2019-03-13,2,2019-03
107,107,Bronx,11,0.26,0.11,0.15,2019-03-13,2,2019-03
108,108,Bronx,10,0.33,0.12,0.15,2019-03-13,2,2019-03
109,109,Bronx,9,0.34,0.11,0.15,2019-03-13,2,2019-03
110,110,Bronx,8,0.31,0.15,0.15,2019-03-13,2,2019-03
111,111,Bronx,7,0.37,0.19,0.15,2019-03-13,2,2019-03
112,112,Manhattan,6,0.15,0.06,0.02,2019-03-13,2,2019-03
113,113,Manhattan,5,0.16,0.06,0.02,2019-03-13,2,2019-03
114,114,Manhattan,4,0.13,0.05,0.02,2019-03-13,2,2019-03
115,115,Manhattan,3,0.06,0.03,0.02,2019-03-13,2,2019-03
116,116,Manhattan,2,0.05,0.02,0.02,2019-03-13,2,2019-03
117,117,Manhattan,1,0.05,0.03,0.02,2019-03-13,2,2019-03
118,118,Brooklyn,22,0.27,0.11,0.08,2019-03-13,2,2019-03
119,119,Brooklyn,21,0.24,0.07,0.08,2019-03-13,2,2019-03
120,120,Brooklyn,20,0.31,0.07,0.08,2019-03-13,2,2019-03
121,121,Brooklyn,19,0.38,0.15,0.08,2019-03-13,2,2019-03
122,122,Brooklyn,18,0.27,0.16,0.08,2019-03-13,2,2019-03
123,123,Brooklyn,17,0.24,0.09,0.08,2019-03-13,2,2019-03
124,124,Brooklyn,16,0.12,0.08,0.08,2019-03-13,2,2019-03
125,125,Brooklyn,15,0.18,0.04,0.08,2019-03-13,2,2019-03
126,126,Brooklyn,14,0.07,0.02,0.08,2019-03-13,2,2019-03
127,127,Brooklyn,13,0.07,0.03,0.08,2019-03-13,2,2019-03
